x_center,y_center,z_center,i,j,k,Density,Cut,Mo,As,Recu,Dure,Cate,Cate_3,Cate_2,Cate_1,Cate_0,Cate_9999
2910,3370,1868,0,4,2,2.48,0.16,0,0.01,70.11,-1,0,0,0,0,100,0
2910,3370,1886,0,4,3,2.48,0.12,0,0.03,70.11,-1,0,0,0,0,100,0
2910,3370,1904,0,4,4,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,1922,0,4,5,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,1940,0,4,6,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,1958,0,4,7,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,1976,0,4,8,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,1994,0,4,9,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2012,0,4,10,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2030,0,4,11,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2048,0,4,12,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2066,0,4,13,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2084,0,4,14,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2102,0,4,15,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2120,0,4,16,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2138,0,4,17,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2156,0,4,18,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2174,0,4,19,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2192,0,4,20,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2210,0,4,21,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2228,0,4,22,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2246,0,4,23,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2264,0,4,24,2.48,0,0,0,70.11,-1,0,0,0,0,100,0
2910,3370,2282,0,4,25,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2300,0,4,26,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2318,0,4,27,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2336,0,4,28,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2354,0,4,29,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2372,0,4,30,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2390,0,4,31,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2408,0,4,32,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2426,0,4,33,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2444,0,4,34,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
2910,3370,2462,0,4,35,2.6,0,0,0,70.11,-1,9999,0,0,0,0,100
